id,name,order,active,createdAt,description,typeId,totalActivities,code,levelId,learningMore,periodId,levelCodeId,institutionId,carrerId,sessionId,startDate,endDate,regionalId,campusId,localId,hasEcampus,hasEyoung,hasActivated,days,scheduleStart,scheduleEnd
000000041427,Seg Quar 07:00 - 07:05,0,1,2021-11-29T23:16:01.000Z,KINDER 1,1,101,PBMATK1,128,kanttum,2220,100828,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041428,Seg Quar 07:05 - 07:10,0,1,2021-11-29T23:27:01.000Z,KINDER 2,2,101,PBMATK2,131,kanttum,2220,100829,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041429,Seg Quar 07:10 - 07:15,0,1,2021-11-29T23:37:01.000Z,KINDER 3,1,101,PBMATK3,132,kanttum,2220,100830,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041430,Seg Quar 07:15 - 07:20,0,1,2021-11-29T23:41:00.000Z,YEAR 1,2,46,PBMATY1,130,kanttum,2220,100831,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041431,Seg Quar 07:20 - 07:25,0,1,2021-11-29T23:44:00.000Z,YEAR 2,1,47,PBMATY2,133,kanttum,2220,100832,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041432,Seg Quar 07:25 - 07:30,0,1,2021-11-29T23:46:00.000Z,YEAR 3,1,46,PBMATY3,134,kanttum,2220,100833,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041433,Seg Quar 07:30 - 07:35,0,1,2021-11-29T23:49:00.000Z,YEAR 4/EFL,2,107,EFLMATY4,139,kanttum,2220,100834,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041434,Seg Quar 07:35 - 07:40,0,1,2021-11-29T23:51:01.000Z,YEAR 5/EFL,1,101,EFLMATY5,282,kanttum,2220,100835,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041435,Ter Quin 07:00 - 07:05,0,1,2021-11-29T23:54:01.000Z,YEAR 6,2,23,PBMATY6,141,kanttum,2220,100838,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041436,Ter Quin 07:05 - 07:10,0,1,2021-11-29T23:58:00.000Z,YEAR 7,2,20,PBMATY7,142,kanttum,2220,100839,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041437,Ter Quin 07:10 - 07:15,0,1,2021-11-30T00:00:00.000Z,YEAR 8,2,24,PBMATY8,143,kanttum,2220,100840,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041438,Ter Quin 07:15 - 07:20,0,1,2021-11-30T00:02:01.000Z,YEAR 9,2,25,PBMATY9,144,kanttum,2220,100841,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041439,Ter Quin 07:20 - 07:25,0,1,2021-11-30T00:05:01.000Z,HIGH GLOBAL 1,2,85,PBMATHG1,135,kanttum,2220,100842,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041440,Ter Quin 07:25 - 07:30,0,1,2021-11-30T00:07:00.000Z,HIGH GLOBAL 2,2,84,PBMATHG2,137,kanttum,2220,100843,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
000000041441,Ter Quin 07:30 - 07:35,0,1,2021-11-30T00:09:00.000Z,HIGH GLOBAL 3,2,85,PBMATHG3,138,kanttum,2220,100844,ACISP,PBSP,200,2022-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,7,51,55,1,0,1,, , 
